*YYYYMMDD HHMMSS JJJJJ.JJJJ         X             Y             Z            Sx        Sy       Sz     Rxy   Rxz    Ryz            NLat         Elong         Height         dN        dE        dU         Sn       Se       Su      Rne    Rnu    Reu  Soln
 20010502 120000 52031.5000 -2485778.30940 -3284087.06282  4853826.80366  0.00425  0.00574  0.00668  0.861 -0.846 -0.880      49.8730532261  232.8773352720  164.67351    -0.03358  -0.04240  -0.04719    0.00237  0.00181  0.00932 -0.074 -0.376  0.112 repro
 20010503 120000 52032.5000 -2485778.31299 -3284087.06764  4853826.81197  0.00305  0.00394  0.00456  0.842 -0.797 -0.844      49.8730532330  232.8773352727  164.68374    -0.03282  -0.04235  -0.03696    0.00188  0.00135  0.00634  0.001 -0.348  0.048 repro
 20010504 120000 52033.5000 -2485778.31625 -3284087.07079  4853826.81692  0.00333  0.00414  0.00494  0.841 -0.793 -0.844      49.8730532309  232.8773352630  164.69041    -0.03306  -0.04305  -0.03029    0.00201  0.00146  0.00681  0.060 -0.319 -0.011 repro
 20010505 120000 52034.5000 -2485778.32013 -3284087.07496  4853826.82050  0.00327  0.00413  0.00484  0.838 -0.795 -0.838      49.8730532127  232.8773352550  164.69681    -0.03508  -0.04362  -0.02390    0.00201  0.00146  0.00671  0.023 -0.334  0.004 repro
 20010506 120000 52035.5000 -2485778.31585 -3284087.06957  4853826.81452  0.00313  0.00399  0.00463  0.844 -0.800 -0.843      49.8730532253  232.8773352572  164.68779    -0.03368  -0.04346  -0.03291    0.00192  0.00137  0.00645  0.013 -0.351  0.020 repro
 20010507 120000 52036.5000 -2485778.31536 -3284087.07011  4853826.81566  0.00348  0.00442  0.00523  0.851 -0.804 -0.847      49.8730532310  232.8773352672  164.68875    -0.03304  -0.04275  -0.03195    0.00211  0.00149  0.00724  0.028 -0.328  0.011 repro
 20010508 120000 52037.5000 -2485778.31595 -3284087.07230  4853826.81727  0.00313  0.00397  0.00466  0.841 -0.800 -0.839      49.8730532259  232.8773352790  164.69134    -0.03361  -0.04190  -0.02937    0.00192  0.00138  0.00646  0.009 -0.333  0.006 repro
 20010509 120000 52038.5000 -2485778.31703 -3284087.07253  4853826.81932  0.00328  0.00423  0.00489  0.843 -0.800 -0.843      49.8730532320  232.8773352690  164.69344    -0.03293  -0.04262  -0.02726    0.00202  0.00145  0.00681 -0.002 -0.353  0.039 repro
 20010510 120000 52039.5000 -2485778.31319 -3284087.06967  4853826.81456  0.00314  0.00398  0.00462  0.843 -0.803 -0.843      49.8730532360  232.8773352876  164.68685    -0.03248  -0.04129  -0.03386    0.00191  0.00138  0.00644  0.008 -0.356  0.009 repro
 20010511 120000 52040.5000 -2485778.31494 -3284087.07024  4853826.81386  0.00307  0.00387  0.00454  0.844 -0.795 -0.838      49.8730532216  232.8773352729  164.68728    -0.03409  -0.04233  -0.03342    0.00190  0.00134  0.00630  0.030 -0.333 -0.002 repro
 20010512 120000 52041.5000 -2485778.31638 -3284087.07129  4853826.81454  0.00332  0.00424  0.00498  0.844 -0.800 -0.841      49.8730532138  232.8773352657  164.68890    -0.03496  -0.04285  -0.03181    0.00204  0.00146  0.00689  0.008 -0.330  0.020 repro
 20010513 120000 52042.5000 -2485778.31926 -3284087.07456  4853826.82084  0.00307  0.00391  0.00454  0.842 -0.802 -0.843      49.8730532204  232.8773352613  164.69652    -0.03422  -0.04317  -0.02419    0.00188  0.00135  0.00633  0.007 -0.351  0.016 repro
 20010514 120000 52043.5000 -2485778.31689 -3284087.07213  4853826.81923  0.00326  0.00421  0.00484  0.846 -0.804 -0.844      49.8730532343  232.8773352672  164.69311    -0.03268  -0.04275  -0.02759    0.00200  0.00143  0.00676 -0.013 -0.363  0.042 repro
 20010515 120000 52044.5000 -2485778.32033 -3284087.07377  4853826.82178  0.00323  0.00412  0.00477  0.841 -0.802 -0.841      49.8730532258  232.8773352428  164.69725    -0.03362  -0.04450  -0.02346    0.00198  0.00143  0.00664  0.000 -0.353  0.014 repro
 20010516 120000 52045.5000 -2485778.31741 -3284087.07087  4853826.81728  0.00304  0.00397  0.00460  0.839 -0.794 -0.843      49.8730532277  232.8773352508  164.69118    -0.03341  -0.04392  -0.02953    0.00189  0.00137  0.00638 -0.004 -0.339  0.066 repro
 20010517 120000 52046.5000 -2485778.31531 -3284087.06935  4853826.81583  0.00305  0.00396  0.00460  0.840 -0.799 -0.841      49.8730532363  232.8773352614  164.68848    -0.03245  -0.04317  -0.03223    0.00189  0.00136  0.00637 -0.016 -0.336  0.050 repro
 20010518 120000 52047.5000 -2485778.31761 -3284087.07307  4853826.81903  0.00296  0.00376  0.00435  0.821 -0.792 -0.836      49.8730532249  232.8773352671  164.69372    -0.03372  -0.04275  -0.02698    0.00181  0.00139  0.00605 -0.001 -0.344  0.020 repro
 20010519 120000 52048.5000 -2485778.31736 -3284087.07389  4853826.81760  0.00341  0.00438  0.00499  0.833 -0.789 -0.835      49.8730532132  232.8773352767  164.69296    -0.03502  -0.04206  -0.02775    0.00214  0.00155  0.00698  0.001 -0.363  0.039 repro
 20010520 120000 52049.5000 -2485778.31641 -3284087.07245  4853826.81747  0.00315  0.00407  0.00467  0.824 -0.793 -0.835      49.8730532243  232.8773352753  164.69175    -0.03379  -0.04217  -0.02896    0.00196  0.00147  0.00650 -0.025 -0.350  0.045 repro
 20010521 120000 52050.5000 -2485778.31814 -3284087.07534  4853826.82138  0.00317  0.00411  0.00469  0.840 -0.808 -0.849      49.8730532239  232.8773352803  164.69689    -0.03383  -0.04181  -0.02381    0.00192  0.00141  0.00657 -0.018 -0.374  0.046 repro
 20010522 120000 52051.5000 -2485778.31845 -3284087.07368  4853826.81891  0.00323  0.00411  0.00478  0.824 -0.803 -0.851      49.8730532174  232.8773352629  164.69427    -0.03455  -0.04306  -0.02643    0.00190  0.00150  0.00665  0.011 -0.354  0.024 repro
 20010523 120000 52052.5000 -2485778.31441 -3284087.06949  4853826.81327  0.00331  0.00424  0.00492  0.837 -0.800 -0.844      49.8730532245  232.8773352725  164.68623    -0.03377  -0.04236  -0.03447    0.00201  0.00149  0.00685  0.005 -0.348  0.026 repro
 20010524 120000 52053.5000 -2485778.31845 -3284087.07433  4853826.81893  0.00350  0.00449  0.00519  0.835 -0.799 -0.842      49.8730532140  232.8773352684  164.69463    -0.03494  -0.04266  -0.02608    0.00214  0.00158  0.00723 -0.003 -0.351  0.033 repro
 20010525 120000 52054.5000 -2485778.31341 -3284087.06917  4853826.81448  0.00314  0.00402  0.00460  0.828 -0.801 -0.849      49.8730532374  232.8773352809  164.68661    -0.03233  -0.04176  -0.03410    0.00188  0.00145  0.00644  0.005 -0.375  0.035 repro
 20010526 120000 52055.5000 -2485778.31655 -3284087.07154  4853826.81834  0.00346  0.00442  0.00515  0.835 -0.800 -0.841      49.8730532338  232.8773352660  164.69199    -0.03274  -0.04283  -0.02871    0.00211  0.00156  0.00715 -0.003 -0.342  0.024 repro
 20010527 120000 52056.5000 -2485778.31779 -3284087.07217  4853826.81955  0.00355  0.00450  0.00524  0.837 -0.803 -0.845      49.8730532322  232.8773352576  164.69374    -0.03291  -0.04344  -0.02697    0.00214  0.00159  0.00730  0.011 -0.351  0.008 repro
 20010528 120000 52057.5000 -2485778.31890 -3284087.07461  4853826.82246  0.00337  0.00428  0.00498  0.831 -0.800 -0.845      49.8730532310  232.8773352657  164.69764    -0.03304  -0.04285  -0.02306    0.00202  0.00154  0.00693  0.012 -0.350  0.018 repro
 20010529 120000 52058.5000 -2485778.31729 -3284087.07326  4853826.81772  0.00328  0.00424  0.00485  0.836 -0.803 -0.848      49.8730532177  232.8773352722  164.69270    -0.03453  -0.04239  -0.02801    0.00198  0.00148  0.00679 -0.008 -0.370  0.046 repro
