*YYYYMMDD,HHMMSS,JJJJJ.JJJJ,X,Y,Z,Sx,Sy,Sz,Rxy,Rxz,Ryz,NLat,Elong,Height,dN,dE,dU,Sn,Se,Su,Rne,Rnu,Reu,Soln
20010411,120000,52010.5,-2485778.319,-3284087.075,4853826.821,0.00316,0.00402,0.00469,0.832,-0.785,-0.836,49.87305322,232.8773353,164.69641,-0.03448,-0.04287,-0.02429,0.00197,0.00144,0.0065,0.024,-0.331,0.028,repro
20010412,120000,52011.5,-2485778.321,-3284087.076,4853826.82,0.00348,0.00449,0.00518,0.838,-0.792,-0.842,49.8730532,232.8773353,164.69718,-0.03613,-0.04385,-0.02353,0.00216,0.00156,0.00721,0.007,-0.349,0.05,repro
20010413,120000,52012.5,-2485778.318,-3284087.073,4853826.819,0.0031,0.00399,0.00467,0.835,-0.793,-0.844,49.87305322,232.8773353,164.6941,-0.0344,-0.04324,-0.02661,0.0019,0.0014,0.00647,0.015,-0.327,0.045,repro
20010414,120000,52013.5,-2485778.316,-3284087.071,4853826.815,0.00299,0.00381,0.00447,0.833,-0.794,-0.843,49.87305322,232.8773353,164.68927,-0.03411,-0.04236,-0.03143,0.00182,0.00136,0.00619,0.022,-0.33,0.024,repro
20010415,120000,52014.5,-2485778.317,-3284087.071,4853826.816,0.00313,0.00395,0.00472,0.827,-0.788,-0.844,49.87305322,232.8773353,164.69019,-0.03421,-0.04296,-0.03051,0.00189,0.00144,0.00648,0.047,-0.303,0.016,repro
20010416,120000,52015.5,-2485778.315,-3284087.069,4853826.814,0.00316,0.00406,0.00479,0.83,-0.789,-0.839,49.87305323,232.8773353,164.68627,-0.03342,-0.04296,-0.03444,0.00196,0.00145,0.0066,0.008,-0.311,0.044,repro
20010417,120000,52016.5,-2485778.316,-3284087.068,4853826.813,0.00344,0.00439,0.00519,0.827,-0.783,-0.836,49.87305323,232.8773352,164.68596,-0.03346,-0.04449,-0.03475,0.00214,0.00159,0.00714,0.027,-0.305,0.031,repro
20010418,120000,52017.5,-2485778.317,-3284087.072,4853826.817,0.00345,0.00439,0.00516,0.829,-0.777,-0.827,49.87305322,232.8773353,164.69164,-0.03378,-0.04333,-0.02906,0.0022,0.00158,0.0071,0.022,-0.307,0.027,repro
20010419,120000,52018.5,-2485778.317,-3284087.072,4853826.817,0.00308,0.00394,0.00454,0.837,-0.794,-0.842,49.87305322,232.8773353,164.69113,-0.03386,-0.04301,-0.02958,0.0019,0.00138,0.00633,0.013,-0.357,0.035,repro
20010420,120000,52019.5,-2485778.317,-3284087.071,4853826.816,0.00325,0.00412,0.00475,0.842,-0.797,-0.844,49.87305322,232.8773353,164.69002,-0.03373,-0.0436,-0.03068,0.00199,0.00143,0.00664,0.027,-0.363,0.018,repro
20010421,120000,52020.5,-2485778.316,-3284087.071,4853826.816,0.0031,0.00393,0.00454,0.833,-0.794,-0.843,49.87305323,232.8773353,164.68904,-0.03363,-0.04262,-0.03167,0.00189,0.0014,0.00634,0.026,-0.355,0.017,repro
20010422,120000,52021.5,-2485778.316,-3284087.07,4853826.816,0.00353,0.0045,0.00526,0.844,-0.802,-0.841,49.87305323,232.8773353,164.68968,-0.03319,-0.04359,-0.03103,0.00217,0.00155,0.0073,0.003,-0.338,0.015,repro
20010423,120000,52022.5,-2485778.315,-3284087.068,4853826.815,0.00323,0.00412,0.00487,0.83,-0.783,-0.834,49.87305325,232.8773353,164.68719,-0.03145,-0.04357,-0.03351,0.00202,0.00148,0.00669,0.027,-0.306,0.028,repro
